,loss_values
916,2911.5908203125
917,2907.68212890625
918,2899.990478515625
919,2907.732421875
920,2912.73193359375
921,2903.08642578125
922,2907.631591796875
923,2909.92919921875
924,2904.49853515625
925,2905.810302734375
926,2905.92431640625
927,2917.005615234375
928,2924.7294921875
929,2906.326171875
930,2909.463134765625
931,2918.637939453125
932,2913.828857421875
933,2914.700439453125
934,2905.0009765625
935,2901.15625
936,2906.8037109375
937,2908.45751953125
938,2908.92626953125
939,2914.380615234375
940,2912.892578125
941,2911.446533203125
942,2907.46923828125
943,2913.540771484375
944,2907.378662109375
945,2919.869384765625
946,2913.154541015625
947,2908.04052734375
948,2915.013427734375
949,2914.447998046875
950,2901.84033203125
951,2903.9794921875
952,2923.2744140625
953,2899.358642578125
954,2902.912353515625
955,2909.208251953125
956,2909.696533203125
957,2903.330810546875
958,2901.240966796875
959,2903.50830078125
960,2913.5947265625
961,2909.29638671875
962,2907.758544921875
963,2912.355224609375
964,2904.553955078125
965,2906.844482421875
966,2912.129638671875
967,2902.640625
968,2912.75
969,2909.798095703125
970,2908.337890625
971,2909.779296875
972,2905.9375
973,2901.842041015625
974,2910.9853515625
975,2917.28466796875
976,2907.63671875
977,2900.048828125
978,2908.395263671875
979,2902.19921875
980,2912.551025390625
981,2903.977783203125
982,2905.22265625
983,2899.559814453125
984,2910.90478515625
985,2911.3095703125
986,2905.2119140625
987,2895.510498046875
988,2900.56689453125
989,2907.401611328125
990,2917.599609375
991,2899.95654296875
992,2898.0615234375
993,2897.654296875
994,2907.126220703125
995,2901.012451171875
996,2905.5595703125
997,2908.95263671875
998,2902.859130859375
999,2906.17431640625
1000,2906.7314453125
1001,2905.33837890625
1002,2900.399169921875
1003,2900.77001953125
1004,2914.118896484375
1005,2904.919921875
1006,2894.209228515625
1007,2911.630126953125
1008,2899.707763671875
1009,2908.616455078125
1010,2895.265625
1011,2901.888916015625
1012,2914.67041015625
1013,2906.554443359375
1014,2884.591796875
1015,2902.804931640625
1016,2909.175537109375
1017,2895.053466796875
1018,2913.640625
1019,2893.218505859375
1020,2906.535888671875
1021,2898.049072265625
1022,2898.81396484375
1023,2902.7041015625
1024,2908.392578125
1025,2907.807373046875
1026,2908.3759765625
1027,2893.1630859375
1028,2903.150390625
1029,2904.978759765625
1030,2919.3671875
1031,2907.205322265625
1032,2912.34423828125
1033,2901.19482421875
1034,2897.722900390625
1035,2913.211669921875
1036,2899.91162109375
1037,2899.87451171875
1038,2894.419921875
1039,2904.721923828125
1040,2900.240966796875
1041,2892.49462890625
1042,2904.99169921875
1043,2903.263671875
1044,2901.675537109375
1045,2900.743896484375
1046,2899.123779296875
1047,2895.962890625
1048,2907.1142578125
1049,2896.89990234375
1050,2897.741943359375
1051,2901.04931640625
1052,2901.2890625
1053,2895.10107421875
1054,2914.256591796875
1055,2891.542724609375
1056,2897.54248046875
1057,2905.2216796875
1058,2901.447265625
1059,2901.0126953125
1060,2894.921142578125
1061,2906.4365234375
1062,2901.594482421875
1063,2901.590087890625
1064,2896.9443359375
1065,2899.7646484375
1066,2906.51171875
1067,2897.630615234375
1068,2892.75146484375
1069,2903.60205078125
1070,2895.91796875
1071,2897.499267578125
